FullName,Distance,Event,SwimmerAge,EventCompetitionCategoryKey,SwimTime,SwimTimeAdj,Standard,MeetName,SwimDate,ClubName,LscCode,IsForeign,Rank,PowerPoints,Sanctioned
"Smiley, Dylan",200,200 FR SCY,19,2,1:34.03,1:34.03,2024 Summer Nationals (LCM),Last Chance Invite,3/9/2024,Unattached,US,False,80,969,Yes
"Freri, Geremia",200,200 FR SCY,23,2,1:34.04,1:34.04,2024 Summer Nationals (LCM),2024 Big 12 Conference Championships,2/27/2024,Unattached,US,True,82,969,Yes
"Smith, Julian",200,200 FR SCY,21,2,1:34.10,1:34.10,2024 Summer Nationals (LCM),Florida Invitational,2/2/2024,Unattached,US,False,83,967,Yes
"Greeley, David",200,200 FR SCY,20,2,1:34.12,1:34.12,2024 Summer Nationals (LCM),2024 Men's Ivy League Championships,3/1/2024,Unattached,US,False,84,967,Yes
"Pinfold, Brett",200,200 FR SCY,28,2,1:34.13,1:34.13,2024 Summer Nationals (LCM),2023 NT KMSC Pro Am,12/15/2023,Swim Houston Aquatics Center,GU,False,85,966,Yes
"Sergile, Sebastien",200,200 FR SCY,19,2,1:34.14,1:34.14,2024 Summer Nationals (LCM),Tennessee Invitational,11/16/2023,Unattached,VA,False,86,966,Yes
"Sparrow, Austin",200,200 FR SCY,20,2,1:34.18,1:34.18,2024 Summer Nationals (LCM),2024 Mountain Pacific Sports Federation Championships,2/21/2024,Gaucho Aquatics,CA,True,87,964,Yes
"Vainio, Luukas",200,200 FR SCY,20,2,1:34.23,1:34.23,2024 Summer Nationals (LCM),2024 Men's B1G Championships,3/1/2024,Wisconsin Aquatics,WI,True,88,964,Yes
"King, David",200,200 FR SCY,18,2,1:34.24,1:34.24,2024 Summer Nationals (LCM),2024 VA SC Senior Champs,2/29/2024,Cavalier Aquatics/Piedmont Family YMCA,VA,False,89,963,Yes
"Dahlgren, Jack",200,200 FR SCY,23,2,1:34.24,1:34.24,2024 Summer Nationals (LCM),2023 NT KMSC Pro Am,12/15/2023,Team Triumph,MV,False,89,963,Yes
"Gaziev, Ruslan",200,200 FR SCY,24,2,1:34.24,1:34.24,2024 Summer Nationals (LCM),Ohio State Fall Invitational,11/17/2023,Ohio State University,OH,True,89,963,Yes
"Ewing, JT",200,200 FR SCY,19,2,1:34.28,1:34.28,2024 Summer Nationals (LCM),NC State GAC Invitational,11/16/2023,NC State University,NC,False,92,962,Yes
"Windle, Calvin",200,200 FR SCY,20,2,1:34.30,1:34.30,2024 Summer Nationals (LCM),Mizzou Invite,11/16/2023,U. of Missouri,MV,False,93,961,Yes
"King, Matt",200,200 FR SCY,21,2,1:34.33,1:34.33,2024 Summer Nationals (LCM),2023 NT LAC Fall Classic,11/3/2023,Texas Ford Aquatics,NT,False,94,961,Yes
"Enoch, Gregg",200,200 FR SCY,17,2,1:34.33,1:34.33,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - East,12/6/2023,Carmel Swim Club,IN,False,94,972,Yes
"Cynor, Quinn",200,200 FR SCY,21,2,1:34.34,1:34.34,2024 Summer Nationals (LCM),2024 Western Athletic Conference Championships,3/1/2024,Wyoming Aquatics,WY,False,96,960,Yes
"CHATEIGNER, Benjamin",200,200 FR SCY,19,2,1:34.37,1:34.37,2024 Summer Nationals (LCM),Auburn Invitational,2/9/2024,Auburn University,SE,True,97,959,Yes
"Pieroni, Blake",200,200 FR SCY,27,2,1:34.38,1:34.38,2024 Summer Nationals (LCM),2023 IN CSC Fall Frenzy,11/5/2023,Indiana Swim Club,IN,False,98,959,Yes
"Pancerevas, Daniil",200,200 FR SCY,19,2,1:34.44,1:34.44,2024 Summer Nationals (LCM),Tennessee Last Chance Invitational,3/2/2024,Virginia Tech,VA,True,99,957,Yes
"Marchand, Leon",500,500 FR SCY,21,2,4:02.31,4:02.31,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Sun Devil Swimming,AZ,True,1,1101,Yes
"Hobson, Luke",500,500 FR SCY,20,2,4:06.93,4:06.93,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University of Texas,ST,False,2,1050,Yes
"Magahey, Jake",500,500 FR SCY,22,2,4:07.12,4:07.12,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,SwimAtlanta,GA,False,3,1048,Yes
"Sarkany, Zalan",500,500 FR SCY,20,2,4:09.19,4:09.19,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Unattached,US,True,4,1025,Yes
"Jett, Gabriel",500,500 FR SCY,21,2,4:10.43,4:10.43,2024 Summer Nationals (LCM),CAL @ Stanford Men,2/24/2024,California Aquatics,PC,False,5,1012,Yes
"Mitchell, Jake",500,500 FR SCY,22,2,4:10.48,4:10.48,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University of Florida,FL,False,6,1012,Yes
"Carrozza, Coby",500,500 FR SCY,22,2,4:10.74,4:10.74,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University of Texas,ST,False,7,1009,Yes
"Mathias, Mason",500,500 FR SCY,21,2,4:10.82,4:10.82,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Auburn University,SE,False,8,1008,Yes
"Hawke, Charlie",500,500 FR SCY,21,2,4:11.02,4:11.02,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Unattached,US,True,9,1006,Yes
"Hoagland, Jack",500,500 FR SCY,23,2,4:11.11,4:11.11,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Unattached,US,False,10,1005,Yes
"Aslan, Yigit",500,500 FR SCY,20,2,4:11.20,4:11.20,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Unattached,US,True,11,1004,Yes
"Soloveychik, Bar",500,500 FR SCY,23,2,4:11.33,4:11.33,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University of Minnesota,MN,True,12,1003,Yes
"Smith, Kieran",500,500 FR SCY,23,2,4:11.75,4:11.75,2024 Summer Nationals (LCM),2023 PV NCAP Invitational,12/9/2023,Ridgefield Aquatic Club,CT,False,13,998,Yes
"Linscheer, Gio",500,500 FR SCY,19,2,4:11.84,4:11.84,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University of Florida,FL,False,14,997,Yes
"Miroslaw, Rafael",500,500 FR SCY,23,2,4:11.84,4:11.84,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Indiana University,IN,True,14,997,Yes
"Maurer, Rex",500,500 FR SCY,19,2,4:11.88,4:11.88,2024 Summer Nationals (LCM),Texas Invitational,11/16/2023,Rose Bowl Aquatics,CA,False,16,997,Yes
"Koski, Tomas",500,500 FR SCY,19,2,4:12.29,4:12.29,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Athens Bulldog Swim Club,GA,False,17,992,Yes
"Hill, Julian",500,500 FR SCY,22,2,4:12.37,4:12.37,2024 Summer Nationals (LCM),NC State GAC Invitational,11/16/2023,Sun Devil Swimming,AZ,False,18,991,Yes
"Axon, Alex",500,500 FR SCY,20,2,4:12.62,4:12.62,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Ohio State University,OH,True,19,989,Yes
"Plage, James",500,500 FR SCY,21,2,4:12.97,4:12.97,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,NC State University,NC,False,20,985,Yes
"Matheson, Daniel",500,500 FR SCY,21,2,4:13.00,4:13.00,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Sun Devil Swimming,AZ,False,21,985,Yes
"Taylor, Andrew",500,500 FR SCY,19,2,4:13.10,4:13.10,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University of Florida,FL,False,22,984,Yes
"Yanchev, Yordan",500,500 FR SCY,22,2,4:13.35,4:13.35,2024 Summer Nationals (LCM),Georgia Invite,11/16/2023,Unattached,US,True,23,981,Yes
"Bonson, Michael",500,500 FR SCY,21,2,4:13.50,4:13.50,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Auburn University,SE,False,24,979,Yes
"Jones, Keaton",500,500 FR SCY,19,2,4:13.73,4:13.73,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,California Aquatics,PC,False,25,977,Yes
"Chmielewski, Krzysztof",500,500 FR SCY,19,2,4:13.84,4:13.84,2024 Summer Nationals (LCM),Texas Invitational,11/16/2023,Unattached,US,True,26,976,Yes
"Lekic, Jovan",500,500 FR SCY,20,2,4:13.93,4:13.93,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Unattached,US,True,27,975,Yes
"Dant, Ross",500,500 FR SCY,23,2,4:13.94,4:13.94,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,NC State University,NC,False,28,975,Yes
"Lindholm, Oskar",500,500 FR SCY,22,2,4:14.24,4:14.24,2024 Summer Nationals (LCM),Georgia Invite,11/16/2023,University of Florida,FL,True,29,972,Yes
"Brown, Eric",500,500 FR SCY,21,2,4:14.31,4:14.31,2024 Summer Nationals (LCM),James E. Martin Invitational,3/1/2024,University of Florida,FL,True,30,971,Yes
"Enoch, Gregg",500,500 FR SCY,17,2,4:14.36,4:14.36,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - East,12/7/2023,Carmel Swim Club,IN,False,31,984,Yes
"Sibirtsev, Ilia",500,500 FR SCY,22,2,4:14.41,4:14.41,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,University of Louisville,KY,True,32,970,Yes
"Martin, Andrew",500,500 FR SCY,23,2,4:14.62,4:14.62,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Northwestern University ST,IL,False,33,968,Yes
"Mijatovic, Luka",500,500 FR SCY,14,2,4:14.83,4:14.83,2024 Summer Nationals (LCM),2024 PC PC Short Course Far Western Championships,4/6/2024,Unattached,PC,False,34,1097,Yes
"Lloyd, Owen",500,500 FR SCY,22,2,4:14.87,4:14.87,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,NC State University,NC,False,35,965,Yes
"Tepper, Joey",500,500 FR SCY,21,2,4:14.90,4:14.90,2024 Summer Nationals (LCM),Tennessee Last Chance Invitational,3/2/2024,University Of Tennessee,SE,False,36,965,Yes
"Ponce De Leon, Rafael",500,500 FR SCY,23,2,4:14.93,4:14.93,2024 Summer Nationals (LCM),Tennessee Last Chance Invitational,3/1/2024,University Of Tennessee,SE,True,37,964,Yes
"Kopp, Tyler",500,500 FR SCY,21,2,4:14.94,4:14.94,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,California Aquatics,PC,False,38,964,Yes
"Ponsler, Kyle",500,500 FR SCY,19,2,4:15.11,4:15.11,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,NC State University,NC,False,39,962,Yes
"Hick, Carson",500,500 FR SCY,18,2,4:15.18,4:15.18,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Unattached,KY,False,40,962,Yes
"Littlejohn, Ben",500,500 FR SCY,21,2,4:15.20,4:15.20,2024 Summer Nationals (LCM),2024 Men's Ivy League Championships,2/29/2024,Unattached,NE,True,41,961,Yes
"Unlu, Baturalp",500,500 FR SCY,21,2,4:15.42,4:15.42,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,Unattached,US,True,42,959,Yes
"Campbell, Sam",500,500 FR SCY,20,2,4:15.49,4:15.49,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Ohio State University,OH,False,43,958,Yes
"Norris, Lance",500,500 FR SCY,20,2,4:15.51,4:15.51,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,NC State University,NC,False,44,958,Yes
"Foster, Carson",500,500 FR SCY,22,2,4:15.57,4:15.57,2024 Summer Nationals (LCM),2023 CA Kevin Perry Invitational LCM,11/3/2023,Mason Manta Rays,OH,False,45,958,Yes
"Navikonis, Tomas",500,500 FR SCY,20,2,4:15.65,4:15.65,2024 Summer Nationals (LCM),Ohio State Fall Invitational,11/16/2023,Ohio State University,OH,True,46,957,Yes
"Davis, Grant",500,500 FR SCY,20,2,4:15.75,4:15.75,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Auburn University,SE,False,47,956,Yes
"Whitlock, Luke",500,500 FR SCY,17,2,4:15.76,4:15.76,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - East,12/7/2023,Fishers Area Swimming Tigers,IN,False,48,970,Yes
"Metzler, Alex",500,500 FR SCY,21,2,4:15.78,4:15.78,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Ohio State University,OH,True,49,955,Yes
"Frandson, Trent",500,500 FR SCY,21,2,4:15.91,4:15.91,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,California Aquatics,PC,False,50,954,Yes
"Dominguez Calonge, Luis",500,500 FR SCY,21,2,4:16.09,4:16.09,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,Virginia Tech,VA,True,51,952,Yes
"Beth, Silas",500,500 FR SCY,20,2,4:16.15,4:16.15,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Unattached,US,True,52,951,Yes
"Lucas, Cooper",500,500 FR SCY,18,2,4:16.25,4:16.25,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - West,12/7/2023,Lakeside Aquatic Club,NT,False,53,950,Yes
"Forst, Preston",500,500 FR SCY,22,2,4:16.31,4:16.31,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Unattached,US,False,54,950,Yes
"Powe, Sam",500,500 FR SCY,19,2,4:16.35,4:16.35,2024 Summer Nationals (LCM),Georgia Invite,11/16/2023,Athens Bulldog Swim Club,GA,False,55,949,Yes
"Clark, Charlie",500,500 FR SCY,21,2,4:16.41,4:16.41,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Ohio State University,OH,False,56,949,Yes
"Watson, Tyler",500,500 FR SCY,22,2,4:16.43,4:16.43,2024 Summer Nationals (LCM),Ohio State Fall Invitational,11/16/2023,Unattached,US,False,57,949,Yes
"Felt, Dylan",500,500 FR SCY,19,2,4:16.58,4:16.58,2024 Summer Nationals (LCM),2024 Atlantic 10 Conference Championships,2/22/2024,Swim Fort Lauderdale,FG,False,58,947,Yes
"McFadden, Henry",500,500 FR SCY,18,2,4:16.61,4:16.61,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Jersey Wahoos,MA,False,59,947,Yes
"Brown, Joshua",500,500 FR SCY,20,2,4:16.62,4:16.62,2024 Summer Nationals (LCM),2023 CA Speedo Sectionals CA/NV Golden West,12/16/2023,Sandpipers Of Nevada,CA,False,60,946,Yes
"Shackell, Aaron",500,500 FR SCY,19,2,4:16.70,4:16.70,2024 Summer Nationals (LCM),2024 IN CSC Winter Invite,1/12/2024,Carmel Swim Club,IN,False,61,945,Yes
"Mueller, Chase",500,500 FR SCY,19,2,4:16.75,4:16.75,2024 Summer Nationals (LCM),Georgia Last Chance Invite,3/2/2024,Unattached,US,False,62,945,Yes
"Ellis, Luke",500,500 FR SCY,17,2,4:17.02,4:17.02,2024 Summer Nationals (LCM),2023 CA Speedo Sectionals CA/NV Golden West,12/16/2023,Sandpipers Of Nevada,CA,False,63,956,Yes
"King, David",500,500 FR SCY,18,2,4:17.02,4:17.02,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - East,12/7/2023,Cavalier Aquatics/Piedmont Family YMCA,VA,False,63,942,Yes
"Sartori, Murilo",500,500 FR SCY,21,2,4:17.11,4:17.11,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,Unattached,US,True,65,941,Yes
"Prosinski, Raymond",500,500 FR SCY,18,2,4:17.16,4:17.16,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Loggerhead Aquatics,FL,True,66,941,Yes
"Fallon, Matthew",500,500 FR SCY,21,2,4:17.31,4:17.31,2024 Summer Nationals (LCM),2024 Men's Ivy League Championships,2/29/2024,University of Pennsylvania,MA,False,67,939,Yes
"Zucker, Logan",500,500 FR SCY,20,2,4:17.31,4:17.31,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Univ. Of Michigan Swim Team,MI,False,67,939,Yes
"Ehling, John",500,500 FR SCY,22,2,4:17.58,4:17.58,2024 Summer Nationals (LCM),2024 Men's Ivy League Championships,2/29/2024,Unattached,US,False,69,936,Yes
"Tate, Wes",500,500 FR SCY,20,2,4:17.79,4:17.79,2024 Summer Nationals (LCM),2024 Patriot League Championships,2/22/2024,Army West Point,MR,False,70,934,Yes
"Dunham, Bradley",500,500 FR SCY,23,2,4:17.80,4:17.80,2024 Summer Nationals (LCM),Georgia vs Vandy/Florida State,1/13/2024,Unattached,US,False,71,934,Yes
"Mason, Jake",500,500 FR SCY,20,2,4:17.88,4:17.88,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Sun Devil Swimming,AZ,False,72,933,Yes
"Machado, Gabe",500,500 FR SCY,20,2,4:17.91,4:17.91,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Alto Swim Club,PC,False,73,933,Yes
"Dickey, Trey",500,500 FR SCY,21,2,4:17.94,4:17.94,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Texas A & M University,GU,False,74,933,Yes
"Kilavuz, Mert",500,500 FR SCY,20,2,4:17.95,4:17.95,2024 Summer Nationals (LCM),Georgia Invite,11/16/2023,Unattached,US,True,75,933,Yes
"Corredor, Santi",500,500 FR SCY,24,2,4:17.98,4:17.98,2024 Summer Nationals (LCM),2024 NCAA Division II Championships,3/15/2024,Unattached,US,True,76,932,Yes
"Fry, Connor",500,500 FR SCY,18,2,4:17.98,4:17.98,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,South Texas Aquatics,GU,False,76,932,Yes
"McDonald, Cooper",500,500 FR SCY,17,2,4:17.99,4:17.99,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - East,12/7/2023,Dynamo Swim Club,GA,False,78,946,Yes
"Vainio, Luukas",500,500 FR SCY,20,2,4:18.24,4:18.24,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Wisconsin Aquatics,WI,True,79,930,Yes
"Buessing, Cedric",500,500 FR SCY,20,2,4:18.27,4:18.27,2024 Summer Nationals (LCM),2024 NCAA Division II Championships,3/15/2024,Unattached,US,True,80,929,Yes
"Saldo, Gustavo",500,500 FR SCY,20,2,4:18.39,4:18.39,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,Unattached,US,True,81,928,Yes
"Narvid, Jake",500,500 FR SCY,21,2,4:18.39,4:18.39,2024 Summer Nationals (LCM),Tennessee Invitational,11/15/2023,University Of Tennessee,SE,False,81,928,Yes
"Mauldin, Ben",500,500 FR SCY,19,2,4:18.41,4:18.41,2024 Summer Nationals (LCM),2024 ECAC Championships,3/1/2024,Unattached,US,False,83,928,Yes
"Alcantara, Leonardo",500,500 FR SCY,19,2,4:18.42,4:18.42,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Unattached,US,True,84,928,Yes
"Flack, Sam",500,500 FR SCY,19,2,4:18.43,4:18.43,2024 Summer Nationals (LCM),NC State GAC Invitational,11/16/2023,Unattached,US,False,85,928,Yes
"Cantrell, Jonas",500,500 FR SCY,21,2,4:18.47,4:18.47,2024 Summer Nationals (LCM),2023 Zippy Invitational,12/1/2023,South Central Swimming,MI,False,86,927,Yes
"Forrest, Jack",500,500 FR SCY,19,2,4:18.56,4:18.56,2024 Summer Nationals (LCM),2024 ASUN Championships,2/21/2024,Unattached,US,False,87,926,Yes
"Wadsworth, Jack",500,500 FR SCY,21,2,4:18.61,4:18.61,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Unattached,US,False,88,926,Yes
"Hafnaoui, Ahmed",500,500 FR SCY,20,2,4:18.62,4:18.62,2024 Summer Nationals (LCM),"Mizzou, Indiana, Auburn Tri Meet",10/25/2023,Unattached,US,True,89,926,Yes
"Kovacsics, Mark",500,500 FR SCY,21,2,4:18.63,4:18.63,2024 Summer Nationals (LCM),2024 Western Athletic Conference Championships,2/29/2024,Unattached,US,True,90,926,Yes
"Green, Sean",500,500 FR SCY,16,2,4:18.63,4:18.63,2024 Summer Nationals (LCM),2024 MR TYR Senior Mets Winter SCY Championship,2/17/2024,Long Island Aquatic Club,MR,False,90,964,Yes
"Ben Ajmia, Mohamed Khalil",500,500 FR SCY,20,2,4:18.75,4:18.75,2024 Summer Nationals (LCM),2024 NCAA Division II Championships,3/15/2024,Unattached,US,True,92,924,Yes
"Dewitt, Tristan",500,500 FR SCY,22,2,4:18.77,4:18.77,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Indiana University,IN,False,93,924,Yes
"Rosado, Victor",500,500 FR SCY,21,2,4:18.78,4:18.78,2024 Summer Nationals (LCM),2024 NCAA Division II Championships,3/15/2024,Unattached,US,False,94,924,Yes
"Briggs, Warren",500,500 FR SCY,21,2,4:18.80,4:18.80,2024 Summer Nationals (LCM),Ohio State Fall Invitational,11/16/2023,Unattached,US,False,95,924,Yes
"Hunt, Connor",500,500 FR SCY,21,2,4:18.85,4:18.85,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Univ. Of Michigan Swim Team,MI,False,96,923,Yes
"Fenlon, Matt",500,500 FR SCY,21,2,4:18.86,4:18.86,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Unattached,US,False,97,923,Yes
"Manteufel, Gabriel",500,500 FR SCY,16,2,4:18.91,4:18.91,2024 Summer Nationals (LCM),2023 CA Speedo Sectionals CA/NV Golden West,12/16/2023,Sandpipers Of Nevada,CA,False,98,961,Yes
"Heilman, Thomas",500,500 FR SCY,17,2,4:19.00,4:19.00,2024 Summer Nationals (LCM),2024 VA SC Senior Champs,3/2/2024,Cavalier Aquatics/Piedmont Family YMCA,VA,False,99,936,Yes
"Johnston, David",1000,1000 FR SCY,22,2,8:34.82,8:34.82,2024 Summer Nationals (LCM),2023 CA Kevin Perry Invitational LCM,11/2/2023,The Swim Team,CA,False,1,1070,Yes
"Sarkany, Zalan",1000,1000 FR SCY,20,2,8:37.82,8:37.82,2024 Summer Nationals (LCM),California vs. Arizona State,1/20/2024,Unattached,US,True,2,1054,Yes
"Finke, Robert",1000,1000 FR SCY,24,2,8:41.92,8:41.92,2024 Summer Nationals (LCM),2024 FL Spring Senior Championships,3/7/2024,Saint Petersburg Aquatics,FL,False,3,1033,Yes
"Ellis, Luke",1000,1000 FR SCY,17,2,8:45.19,8:45.19,2024 Summer Nationals (LCM),2023 CA Speedo Sectionals CA/NV Golden West,12/17/2023,Sandpipers Of Nevada,CA,False,4,1015,Yes
"Sibirtsev, Ilia",1000,1000 FR SCY,22,2,8:46.07,8:46.07,2024 Summer Nationals (LCM),University of Louisville vs. University of Kentucky,1/27/2024,Unattached,US,True,5,1011,Yes
"Mijatovic, Luka",1000,1000 FR SCY,14,2,8:46.50,8:46.50,2024 Summer Nationals (LCM),2023 CA Speedo Sectionals CA/NV Golden West,12/17/2023,Pleasanton Seahawks,PC,False,6,1127,Yes
"Chmielewski, Krzysztof",1000,1000 FR SCY,19,2,8:47.53,8:47.53,2024 Summer Nationals (LCM),ASU vs USC,11/4/2023,Unattached,US,True,7,1003,Yes
"Kilavuz, Mert",1000,1000 FR SCY,20,2,8:49.57,8:49.57,2024 Summer Nationals (LCM),Texas A&M vs. Georgia Tech & Texas,11/3/2023,Unattached,US,True,8,993,Yes
"Clark, Charlie",1000,1000 FR SCY,21,2,8:49.68,8:49.68,2024 Summer Nationals (LCM),Tim Welsh Classic,1/27/2024,Ohio State University,OH,False,9,992,Yes
"Brown, Joshua",1000,1000 FR SCY,20,2,8:50.67,8:50.67,2024 Summer Nationals (LCM),2023 CA Speedo Sectionals CA/NV Golden West,12/17/2023,Sandpipers Of Nevada,CA,False,10,987,Yes
"Dant, Ross",1000,1000 FR SCY,22,2,8:51.33,8:51.33,2024 Summer Nationals (LCM),ASU vs NC State,10/20/2023,NC State University,NC,False,11,984,Yes
"Maurer, Rex",1000,1000 FR SCY,19,2,8:51.50,8:51.50,2024 Summer Nationals (LCM),Stanford vs. Arizona State (M&W),1/19/2024,Unattached,US,False,12,983,Yes
"Manteufel, Gabriel",1000,1000 FR SCY,16,2,8:51.54,8:51.54,2024 Summer Nationals (LCM),2023 CA Speedo Sectionals CA/NV Golden West,12/17/2023,Sandpipers Of Nevada,CA,False,13,1000,Yes
"Norris, Lance",1000,1000 FR SCY,20,2,8:51.60,8:51.60,2024 Summer Nationals (LCM),NC State vs Georgia & Duke,11/3/2023,NC State University,NC,False,14,982,Yes
"Martin, Andrew",1000,1000 FR SCY,22,2,8:53.07,8:53.07,2024 Summer Nationals (LCM),NU VS. Wisconsin,1/20/2024,Northwestern University ST,IL,False,15,975,Yes
"Lloyd, Owen",1000,1000 FR SCY,22,2,8:53.42,8:53.42,2024 Summer Nationals (LCM),NC State vs Georgia & Duke,11/3/2023,NC State University,NC,False,16,973,Yes
"Magahey, Jake",1000,1000 FR SCY,22,2,8:53.52,8:53.52,2024 Summer Nationals (LCM),Georgia vs Vandy/Florida State,1/13/2024,Unattached,US,False,17,973,Yes
"Ehling, John",1000,1000 FR SCY,22,2,8:53.53,8:53.53,2024 Summer Nationals (LCM),2024 Men's Ivy League Championships,3/1/2024,Unattached,US,False,18,973,Yes
"Buessing, Cedric",1000,1000 FR SCY,20,2,8:54.51,8:54.51,2024 Summer Nationals (LCM),2024 NCAA Division II Championships,3/13/2024,Unattached,US,True,19,968,Yes
"Ben Ajmia, Mohamed Khalil",1000,1000 FR SCY,20,2,8:54.58,8:54.58,2024 Summer Nationals (LCM),2024 NCAA Division II Championships,3/13/2024,Unattached,US,True,20,967,Yes
"Dunham, Bradley",1000,1000 FR SCY,23,2,8:54.88,8:54.88,2024 Summer Nationals (LCM),Georgia vs Vandy/Florida State,1/13/2024,Unattached,US,False,21,966,Yes
"Hoagland, Jack",1000,1000 FR SCY,22,2,8:55.63,8:55.63,2024 Summer Nationals (LCM),SMU vs UIW & OCU,10/14/2023,Dallas Mustangs,NT,False,22,962,Yes
"Hafnaoui, Ahmed",1000,1000 FR SCY,20,2,8:55.74,8:55.74,2024 Summer Nationals (LCM),"Mizzou, Indiana, Auburn Tri Meet",10/25/2023,Unattached,US,True,23,961,Yes
"Kuster, Cole",1000,1000 FR SCY,22,2,8:56.10,8:56.10,2024 Summer Nationals (LCM),2024 Men's Ivy League Championships,3/1/2024,Unattached,US,False,24,959,Yes
"Beth, Silas",1000,1000 FR SCY,20,2,8:56.50,8:56.50,2024 Summer Nationals (LCM),LSU vs Texas AM,1/20/2024,Unattached,US,True,25,957,Yes
"Curreri, James",1000,1000 FR SCY,20,2,8:56.66,8:56.66,2024 Summer Nationals (LCM),2024 Men's Ivy League Championships,3/1/2024,Unattached,US,False,26,957,Yes
"Ekk, Ethan",1000,1000 FR SCY,16,2,8:56.73,8:56.73,2024 Summer Nationals (LCM),2024 FL Spring Senior Championships,3/7/2024,Area Tallahassee Aquatic Club,FL,False,27,974,Yes
